horizon,model,feature_group,event_rate,PR_AUC,Top5_hit_rate,Top5_lift,Brier,Delta_PR_AUC_vs_P_same_model,Delta_Top5_lift_vs_P_same_model,Delta_PR_AUC_vs_naive_persistence,Delta_Top5_lift_vs_naive_persistence
H10,LightGBM,ALL,0.063766,0.063766,0.140000,2.195529,0.250000,0.000000,0.000000,-0.027800,1.881882
H10,LightGBM,C,0.063766,0.063766,0.140000,2.195529,0.250000,0.000000,0.000000,-0.027800,1.881882
H10,LightGBM,M,0.063766,0.063766,0.140000,2.195529,0.250000,0.000000,0.000000,-0.027800,1.881882
H10,LightGBM,P,0.063766,0.063766,0.140000,2.195529,0.250000,0.000000,0.000000,-0.027800,1.881882
H10,Logit,ALL,0.063766,0.111955,0.075000,1.176176,0.368870,0.006738,-0.470471,0.020389,0.862529
H10,Logit,C,0.063766,0.114037,0.085000,1.333000,0.193719,0.008820,-0.313647,0.022471,1.019353
H10,Logit,M,0.063766,0.088186,0.075000,1.176176,0.227563,-0.017031,-0.470471,-0.003379,0.862529
H10,Logit,P,0.063766,0.105217,0.105000,1.646647,0.241865,0.000000,0.000000,0.013651,1.333000
H10,Naive,ALL,0.063766,0.091565,0.020000,0.313647,0.298989,0.000000,0.000000,0.000000,0.000000
H10,Naive,C,0.063766,0.091565,0.020000,0.313647,0.298989,0.000000,0.000000,0.000000,0.000000
H10,Naive,M,0.063766,0.091565,0.020000,0.313647,0.298989,0.000000,0.000000,0.000000,0.000000
H10,Naive,P,0.063766,0.091565,0.020000,0.313647,0.298989,0.000000,0.000000,0.000000,0.000000
H10,SMARTBoost,ALL,0.063766,0.063766,0.140000,2.195529,0.250000,0.000000,0.000000,-0.027800,1.881882
H10,SMARTBoost,C,0.063766,0.063766,0.140000,2.195529,0.250000,0.000000,0.000000,-0.027800,1.881882
H10,SMARTBoost,M,0.063766,0.063766,0.140000,2.195529,0.250000,0.000000,0.000000,-0.027800,1.881882
H10,SMARTBoost,P,0.063766,0.063766,0.140000,2.195529,0.250000,0.000000,0.000000,-0.027800,1.881882
H5,LightGBM,ALL,0.046762,0.046762,0.120000,2.566203,0.250000,0.000000,0.000000,-0.015247,2.459278
H5,LightGBM,C,0.046762,0.046762,0.120000,2.566203,0.250000,0.000000,0.000000,-0.015247,2.459278
H5,LightGBM,M,0.046762,0.046762,0.120000,2.566203,0.250000,0.000000,0.000000,-0.015247,2.459278
H5,LightGBM,P,0.046762,0.046762,0.120000,2.566203,0.250000,0.000000,0.000000,-0.015247,2.459278
H5,Logit,ALL,0.046762,0.066534,0.045000,0.962326,0.349604,0.004909,0.962326,0.004525,0.855401
H5,Logit,C,0.046762,0.054906,0.035000,0.748476,0.298038,-0.006719,0.748476,-0.007103,0.641551
H5,Logit,M,0.046762,0.055424,0.010000,0.213850,0.303813,-0.006201,0.213850,-0.006585,0.106925
H5,Logit,P,0.046762,0.061624,0.000000,0.000000,0.288293,0.000000,0.000000,-0.000384,-0.106925
H5,Naive,ALL,0.046762,0.062009,0.005000,0.106925,0.312211,0.000000,0.000000,0.000000,0.000000
H5,Naive,C,0.046762,0.062009,0.005000,0.106925,0.312211,0.000000,0.000000,0.000000,0.000000
H5,Naive,M,0.046762,0.062009,0.005000,0.106925,0.312211,0.000000,0.000000,0.000000,0.000000
H5,Naive,P,0.046762,0.062009,0.005000,0.106925,0.312211,0.000000,0.000000,0.000000,0.000000
H5,SMARTBoost,ALL,0.046762,0.046762,0.120000,2.566203,0.250000,0.000000,0.000000,-0.015247,2.459278
H5,SMARTBoost,C,0.046762,0.046762,0.120000,2.566203,0.250000,0.000000,0.000000,-0.015247,2.459278
H5,SMARTBoost,M,0.046762,0.046762,0.120000,2.566203,0.250000,0.000000,0.000000,-0.015247,2.459278
H5,SMARTBoost,P,0.046762,0.046762,0.120000,2.566203,0.250000,0.000000,0.000000,-0.015247,2.459278
